Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2015;MASTER LMD;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;80;70;39;89;91;74;98;1820;28400;23.00;8.6;1800;67;63;42;1430;2120;Mulhouse - Haute Alsace_18;disc12_18
2015;MASTER LMD;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;40;68;20;85;91;75;97;ns;ns;23.00;8.6;1800;71;70;55;1430;2120;Mulhouse - Haute Alsace_18;disc14_18
2015;MASTER LMD;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;40;68;20;95;95;84;100;2110;32900;23.00;8.6;1800;76;70;55;1430;2120;Mulhouse - Haute Alsace_30;disc14_30
2015;MASTER ENS;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;170;72;100;98;96;96;95;1750;27300;16.00;7.6;1825;91;23;78;1460;2180;Lyon 1 - Claude Bernard_18;disc18_18
2015;MASTER ENS;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;170;72;100;98;96;96;96;1800;28100;16.00;7.6;1825;91;23;78;1460;2180;Lyon 1 - Claude Bernard_30;disc18_30
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;5;60;1;ns;ns;ns;ns;ns;ns;27.00;7.6;1825;ns;ns;ns;1460;2180;Lyon 1 - Claude Bernard_18;disc01_18
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;5;60;1;ns;ns;ns;ns;ns;ns;27.00;7.6;1825;ns;ns;ns;1460;2180;Lyon 1 - Claude Bernard_30;disc03_30
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;1;50;0;ns;ns;ns;ns;ns;ns;27.00;7.6;1825;ns;ns;ns;1460;2180;Lyon 1 - Claude Bernard_18;disc10_18
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;74;74;16;85;95;68;94;2000;31200;27.00;7.6;1825;71;50;42;1460;2180;Lyon 1 - Claude Bernard_18;disc14_18
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;74;74;16;95;96;82;96;2050;32000;27.00;7.6;1825;77;50;42;1460;2180;Lyon 1 - Claude Bernard_30;disc14_30
2015;MASTER LMD;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;48;77;11;91;100;97;100;1910;29800;27.00;7.6;1825;100;24;16;1460;2180;Lyon 1 - Claude Bernard_18;disc16_18
2015;MASTER ENS;0691775E;Lyon 2 - Lumière;A10;Lyon;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;65;68;100;100;82;77;90;1790;28000;24.00;7.6;1825;77;35;71;1460;2180;Lyon 2 - Lumière_18;disc18_18
2015;MASTER LMD;0691775E;Lyon 2 - Lumière;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;211;69;35;93;78;61;93;1800;28100;33.00;7.6;1825;47;43;56;1460;2180;Lyon 2 - Lumière_18;disc01_18
